map_id,order,Tournament,Stage,Match Type,Match Name,Map,Team,Opponent,team_score,opp_score,diff_team_rating_career_avg,diff_team_rating_last5_avg,diff_team_acs_career_avg,diff_team_acs_last5_avg,diff_team_adr_career_avg,diff_team_adr_last5_avg,diff_team_hs_career_avg,diff_team_hs_last5_avg,diff_team_kast_career_avg,diff_team_kast_last5_avg,diff_team_fkd_career_avg,diff_team_fkd_last5_avg,diff_team_won_career_avg,diff_team_won_last5_avg,diff_team_roster_experience,diff_team_onmap_won_career_avg,diff_team_onmap_won_last5_avg,h2h_won_career_avg,h2h_maps_played_prior,team_onmap_maps_played_prior,won
17,17,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,Team Liquid,FUT Esports,7,13,0.08401960784313744,0.08401960784313744,8.19607843137257,8.19607843137257,5.905882352941177,5.905882352941177,-0.7176470588235304,-0.7176470588235304,4.23333333333332,4.23333333333332,0.4,0.4,0.16666666666666663,0.16666666666666663,3.0,,,,0.0,0.0,0
17,17,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,FUT Esports,Team Liquid,13,7,-0.08401960784313744,-0.08401960784313744,-8.19607843137257,-8.19607843137257,-5.905882352941177,-5.905882352941177,0.7176470588235304,0.7176470588235304,-4.23333333333332,-4.23333333333332,-0.4,-0.4,-0.16666666666666663,-0.16666666666666663,-3.0,,,,0.0,0.0,1
18,18,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,FUT Esports,Team Liquid,13,6,0.09999999999999987,0.09999999999999987,9.449999999999989,9.449999999999989,3.9499999999999886,3.9499999999999886,-0.5,-0.5,3.1500000000000057,3.1500000000000057,0.7000000000000001,0.7000000000000001,0.5,0.5,-3.0,,,1.0,1.0,0.0,1
18,18,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,Team Liquid,FUT Esports,6,13,-0.09999999999999987,-0.09999999999999987,-9.449999999999989,-9.449999999999989,-3.9499999999999886,-3.9499999999999886,0.5,0.5,-3.1500000000000057,-3.1500000000000057,-0.7000000000000001,-0.7000000000000001,-0.5,-0.5,3.0,,,0.0,1.0,1.0,0
19,19,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,Team Heretics,Gentle Mates,4,13,-0.14657894736842114,-0.14657894736842114,-13.699999999999989,-13.699999999999989,-9.626315789473693,-9.626315789473693,-3.9105263157894754,-3.9105263157894754,-3.273684210526312,-3.273684210526312,-0.8,-0.8,-0.5,-0.5,-2.0,,,,0.0,0.0,0
19,19,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,Gentle Mates,Team Heretics,13,4,0.14657894736842114,0.14657894736842114,13.699999999999989,13.699999999999989,9.626315789473693,9.626315789473693,3.9105263157894754,3.9105263157894754,3.273684210526312,3.273684210526312,0.8,0.8,0.5,0.5,2.0,,,,0.0,0.0,1
20,20,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Fracture,Gentle Mates,Team Heretics,3,13,0.63,0.63,83.6,83.6,55.46666666666664,55.46666666666664,-22.93333333333333,-22.93333333333333,34.00000000000001,34.00000000000001,4.0,4.0,1.0,1.0,2.0,,,1.0,1.0,0.0,0
20,20,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Fracture,Team Heretics,Gentle Mates,13,3,-0.63,-0.63,-83.6,-83.6,-55.46666666666664,-55.46666666666664,22.93333333333333,22.93333333333333,-34.00000000000001,-34.00000000000001,-4.0,-4.0,-1.0,-1.0,-2.0,,,0.0,1.0,0.0,1
21,21,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,Gentle Mates,Team Heretics,8,13,0.08499999999999996,0.08499999999999996,16.44999999999999,16.44999999999999,11.799999999999997,11.799999999999997,-12.549999999999997,-12.549999999999997,6.949999999999989,6.949999999999989,1.75,1.75,0.25,0.25,2.0,,,0.5,2.0,1.0,0
21,21,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,Team Heretics,Gentle Mates,13,8,-0.08499999999999996,-0.08499999999999996,-16.44999999999999,-16.44999999999999,-11.799999999999997,-11.799999999999997,12.549999999999997,12.549999999999997,-6.949999999999989,-6.949999999999989,-1.75,-1.75,-0.25,-0.25,-2.0,,,0.5,2.0,0.0,1
22,22,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Bind,Karmine Corp,GIANTX,14,12,0.09800000000000009,0.11240000000000006,10.966666666666669,13.759999999999991,4.63333333333334,5.493333333333325,-1.06666666666667,-0.8266666666666751,10.36666666666666,10.199999999999989,0.23333333333333345,0.2933333333333334,0.16666666666666669,0.26666666666666666,3.0,,,,0.0,2.0,1
22,22,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Bind,GIANTX,Karmine Corp,12,14,-0.09800000000000009,-0.11240000000000006,-10.966666666666669,-13.759999999999991,-4.63333333333334,-5.493333333333325,1.06666666666667,0.8266666666666751,-10.36666666666666,-10.199999999999989,-0.23333333333333345,-0.2933333333333334,-0.16666666666666669,-0.26666666666666666,-3.0,,,,0.0,0.0,0
23,23,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Lotus,GIANTX,Karmine Corp,13,8,-0.13207142857142873,-0.09789999999999999,-14.264285714285705,-15.309999999999974,-7.507142857142867,-7.77000000000001,-1.028571428571432,-0.5600000000000023,-8.214285714285708,-6.299999999999997,0.17142857142857137,0.23999999999999994,-0.3214285714285714,-0.35,-3.0,-1.0,-1.0,0.0,1.0,1.0,1
23,23,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Lotus,Karmine Corp,GIANTX,8,13,0.13207142857142873,0.09789999999999999,14.264285714285705,15.309999999999974,7.507142857142867,7.77000000000001,1.028571428571432,0.5600000000000023,8.214285714285708,6.299999999999997,-0.17142857142857137,-0.23999999999999994,0.3214285714285714,0.35,3.0,1.0,1.0,1.0,1.0,1.0,0
24,24,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,Karmine Corp,GIANTX,10,13,0.07704999999999995,0.019199999999999995,7.259999999999991,3.2399999999999807,3.990000000000009,1.3200000000000074,2.4850000000000065,2.3200000000000003,5.570000000000007,2.480000000000004,-0.62,-0.72,0.09999999999999998,0.0,3.0,,,0.5,2.0,0.0,0
24,24,VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,GIANTX,Karmine Corp,13,10,-0.07704999999999995,-0.019199999999999995,-7.259999999999991,-3.2399999999999807,-3.990000000000009,-1.3200000000000074,-2.4850000000000065,-2.3200000000000003,-5.570000000000007,-2.480000000000004,0.62,0.72,-0.09999999999999998,0.0,-3.0,,,0.5,2.0,0.0,1
